placeId,name,category,address,point,providerPlaceId
184,한국가스LPG충전소,ETC,"부산광역시 동구 자성로133번길 39, 한국가스LPG충전소 (범일동)",POINT(129.0628000 35.1402100),
185,범일1동 행정복지센터 1층,ETC,"부산광역시 동구 범상로 12, 범일1동 행정복지센터(1층) (범일동)",POINT(129.0491000 35.1413100),
186,공영주차장 범일초등,ETC,"부산광역시 동구 증산서로 55, 공영주차장(범일초등) (범일동)",POINT(129.0506800 35.1395290),
187,동부산우체국 1층,ETC,"부산광역시 동구 조방로 15, 동부산우체국 1층 (범일동)",POINT(129.0622000 35.1382300),
188,부산지방국토관리층 1층 옥외,ETC,"부산광역시 동구 초량중로 67, 부산지방국토관리청 (초량동)",POINT(129.0385000 35.1181000),
189,노동복지회관 1층,ETC,"부산광역시 동구 자성로141번길 13, 노동복지회관 (범일동)",POINT(129.0655000 35.1384200),
190,초량지구대 1층,ETC,"부산광역시 동구 초량상로65번길 2, 초량지구대 (초량동)",POINT(129.0377000 35.1178400),
191,수정5동 행정복지센터 1층,ETC,"부산광역시 동구 망양로795번길 2, 수정5동 복합커뮤니티센터 (수정동)",POINT(129.0424000 35.1338900),
192,시민회관 대극장 3층 우측남자,ETC,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)",POINT(129.0653200 35.1385330),
193,초량우체국1층,ETC,"부산광역시 동구 초량상로 71, 초량우체국 1층 (초량동)",POINT(129.0378000 35.1181400),
194,좌천동우체국 1층,ETC,"부산광역시 동구 중앙대로 471, 부산좌천동우체국 1층 (좌천동)",POINT(129.0553000 35.1356100),
195,동구청 L층 민원실,ETC,"부산광역시 동구 구청로 1, 동구청 1층 (수정동)",POINT(129.0453000 35.1293500),
196,시민회관 대극장 1층 우측여자,ETC,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)",POINT(129.0653220 35.1385330),
197,수정2동 행정복지센터 1층,ETC,"부산광역시 동구 수정중로11번길 23, 수정2동 행정복지센터 (수정동)",POINT(129.0426000 35.1299900),
198,시민회관 대극장 2층 놀이방,ETC,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)",POINT(129.0651800 35.1389390),
199,초량3동우체국 2층,ETC,"부산광역시 동구 중앙대로236번길 3-4, 초량3동우체국 2층 (초량동)",POINT(129.0422000 35.1181000),
200,초량2동 행정복지센터 1층,ETC,"부산광역시 동구 중앙대로209번길 30, 초량2동 행정복지센터 (초량동)",POINT(129.0385000 35.1165500),
201,수정산가족체육공원,ETC,"부산광역시 동구 수정공원로 63-1, 수정산 가족체육공원 (수정동)",POINT(129.0379000 35.1328400),
202,부산진세무서 1층 민원실,ETC,"부산광역시 동구 진성로 23, 부산진세무서 민원실 1층 (수정동)",POINT(129.0468000 35.1304800),
203,시민회관 소극장 남자,ETC,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)",POINT(129.0651900 35.1393090),
204,수정1배수지공원,ETC,"부산광역시 동구 망양로672번길 19, 수정1배수지공원, 동구노인종합복지관 위 (수정동)",POINT(129.0402000 35.1261300),
205,동구보건소 민원실 1층,ETC,"부산광역시 동구 구청로 1, 동구보건소 민원실 1층 (수정동)",POINT(129.0449000 35.1293500),
206,동구보훈회관 1층,ETC,"부산광역시 동구 구청로 14, 동구보훈회관 2층 (수정동)",POINT(129.0450000 35.1285600),
207,시민회관 관리동 지하1층여자,ETC,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)",POINT(129.0656100 35.1389960),
208,시립중앙도서관 수정분관(1층),ETC,부산광역시 동구 홍곡로 53 시립중앙도서관 수정분관,POINT(129.0405000 35.1246900),
209,시민회관 관리동 2층 여자,ETC,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)",POINT(129.0656100 35.1389960),
210,시민회관 대극장 개인분장3,ETC,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)",POINT(129.0656200 35.1388510),
211,동구청 1층 까페,ETC,"부산광역시 동구 구청로 1, 동구청 (수정동)",POINT(129.0453000 35.1293500),
212,도시철도 범일역,ETC,"부산광역시 동구 범일로 지하 108, 도시철도 범일역 (범일동)",POINT(129.0593520 35.1409520),
213,동구SK주유소,ETC,"부산광역시 동구 중앙대로 352, 동구SK주유소 (초량동)",POINT(129.0475000 35.1270500),
214,부산진성공원 서문,ETC,"부산광역시 동구 자성로 99, 부산진성공원 서문,조선통신사역사관 (범일동)",POINT(129.0602000 35.1358400),
215,좌천체육공원,ETC,부산광역시 동구 구청로 1(수정동) 좌천체육공원,POINT(129.0516000 35.1361700),
216,동구종합사회복지관 1층,ETC,"부산광역시 동구 안창로 57, 동구종합사회복지관 1층 (범일동)",POINT(129.0424000 35.1456400),
217,부산진소방서 초량119안전센터,ETC,"부산광역시 동구 중앙대로260번길 7, 초량119안전센터 (초량동)",POINT(129.0433000 35.1198400),
218,수정4동초소,ETC,부산광역시 동구 구청로 1(수정동) 수정4동초소,POINT(129.0359000 35.1286600),
219,플랫폼 B동,ETC,"부산광역시 동구 중앙대로 210, 유라시아 플랫폼 (초량동)",POINT(129.0405920 35.1149300),
220,부산진성공원 북문,ETC,"부산광역시 동구 자성로 99, 부산진성공원 북문,조선통신사역사관 (범일동)",POINT(129.0608000 35.1372500),
221,시민회관 관리동 3층 남자,ETC,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)",POINT(129.0656100 35.1389960),
222,안창119안전센터,ETC,"부산광역시 동구 안창로 62, 안창119안전센터 (범일동)",POINT(129.0419000 35.1460300),
223,동구청 지하2층 주차장,ETC,"부산광역시 동구 구청로 1, 동구청 (수정동)",POINT(129.0457000 35.1294600),
224,풀랫폼 A동 장애인용,ETC,"부산광역시 동구 중앙대로 210, 유라시아 플랫폼 (초량동)",POINT(129.0408760 35.1156070),
225,부산트래블라운지1층,ETC,"부산광역시 동구 대영로243번길 38, 부산트래블라운지 1층 (초량동)",POINT(129.0382000 35.1138500),
226,한국부동산원 1층,ETC,"부산광역시 동구 중앙대로 314, 한국부동산원 부산동부지사 1층 (초량동)",POINT(129.0451000 35.1244400),
227,부산시민회관 외부,ETC,"부산광역시 동구 자성로133번길 16, 시민회관 외부 (범일동)",POINT(129.0651000 35.1393000),
